,id,collection_id,success
45,1892,10,0
11,1893,10,0
18,1895,10,0
59,89,84,0
25,217,84,0
10,121,119,1
1,122,119,1
217,168,151,0
258,174,151,1
216,242,230,0
2,58,295,0
3,1865,295,0
90,331,328,0
245,479,495,0
347,16,498,0
51,280,528,0
15,559,556,0
222,658,645,1
211,660,645,1
233,681,645,0
196,253,645,1
181,691,645,0
163,698,645,1
175,708,645,0
96,710,645,0
204,215,656,1
194,214,656,1
409,1594,937,1
328,6081,937,0
154,942,945,0
107,943,945,0
117,818,1006,0
14,674,1241,1
8,675,1241,0
144,1573,1570,1
91,1572,1570,0
80,1571,1570,0
168,1367,1575,0
132,1371,1575,0
112,1374,1575,0
201,1246,1575,0
68,1734,1733,0
13,809,2150,0
241,834,2326,0
34,604,2344,1
218,2395,2396,0
234,2789,2794,1
124,2770,2806,0
351,2269,3106,1
157,4256,4246,0
402,670,4563,1
385,4550,4563,0
113,1369,5039,0
399,8010,8050,0
355,8011,8050,0
183,679,8091,0
38,950,8354,0
237,8856,8580,1
20,8373,8650,1
396,8766,8917,0
239,6466,9735,0
33,80321,14740,0
110,173897,17255,0
122,2502,31562,0
65,2503,31562,0
35,50619,33514,0
401,938,48317,1
53,693,51509,0
63,6637,52984,0
270,6038,59567,0
47,49013,87118,0
48,955,87359,0
100,5175,90863,0
207,199,115570,0
102,414,120794,0
398,80,123800,0
377,2295,182813,0
312,2332,211721,1
307,2334,211721,0
299,1251,261382,1
390,844,287016,0
